menu_id,name,methodname,methodparameter,is_default,menu_code,name_hindi,parent_menu_id,parentcode,parentname
11,DAK Inbox,populateDataList,dakInbox,Y,DakInbox,DAK Inbox,1,Inbox,Inbox
12,File Inbox,populateDataList,fileInbox,Y,FileInbox,File Inbox,1,Inbox,Inbox
13,Create DAK,populatePageContent,displayCreateDakPage,Y,CreateDak,Create DAK,3,DakManagement,Dak Management
14,Manage DAK,populatePageContent,displayForwardDakPage,Y,ManageDak,Manage DAK,3,DakManagement,Dak Management
15,DAK To File COnversion,populatePageContent,displayDakToFilePage,Y,DakToFileConv,DAK To File COnversion,3,DakManagement,Dak Management
16,Add DAK To Existing File,populatePageContent,addDakToFilePage,Y,AddDakToExistingFile,Add DAK To Existing File,3,DakManagement,Dak Management
17,Archive/Dispose,populatePageContent,archive,Y,Archive,Archive/Dispose,3,DakManagement,Dak Management
18,Sent,populateSentDakDataList,"'sentBox','sentDak'",Y,DakSendbox,Sent,3,DakManagement,Dak Management
19,Create File,populatePageContent,displayCreateFilePage,Y,CreateFile,Create File,2,FileManagement,File Management
20,Manage Files,populatePageContent,displayForwardFilePage,Y,ManageFiles,Manage Files,2,FileManagement,File Management
21,Create Part File,populatePageContent,displayCreatePartFilePage,Y,CreatePartFile,DAK To File COnversion,2,FileManagement,File Management
22,Upload Old File,populatePageContent,displayUploadOldFilePage,Y,UploadOldFile,Upload Old File,2,FileManagement,File Management
23,Draft Box,populateDataList,saveAsDraftFileInbox,Y,DraftBox,Draft Box,2,FileManagement,File Management
24,Shared Draft Box,populateDataList,shareDraftFileInbox,Y,SharedDraftBox,Shared Draft Box,2,FileManagement,File Management
25,Sent,populateSentDakDataList,"'sentBox','sentFile'",Y,FileSendbox,Sent,2,FileManagement,File Management
26,Dispatch List,populatePageContent,displayDispatchListPage,Y,DispatchList,Dispatch List,5,Dispatch,Dispatch
27,Create Meeting,populatePageContent,displayCreateMeetingPage,Y,CreateMeeting,Create Meeting,6,Meetings,Meetings
28,Search Meeting,populatePageContent,displaySearchMeetingPage,Y,SearchMeeting,Search Meeting,6,Meetings,Meetings
29,Create Meeting Group,populatePageContent,createMeetingGroup,Y,CreateMeetingGroup,Create Meeting Group,6,Meetings,Meetings
30,Leave Management,populatePageContent,displayMantralayaUserLeaveManagement,N,LeaveMgmt,Leave Management,7,HRMS,HRMS
32,Leave Settings,populatePageContent,displayLeaveSettingPage,N,LeaveSettings,Leave Settings,7,HRMS,HRMS
35,Transaction Report,populatePageContent,dispTransactionReport,Y,TransReport,Transaction Report,8,Reports,Reports
36,File/DAK Movement History,populatePageContent,dispFileDaKMoveHis,Y,FileDakMovHistory,File/DAK Movement History,8,Reports,Reports
37,Dak Sent Report,populatePageContent,displayTLDakReport,Y,DakSentReport,Dak Sent Report,8,Reports,Reports
38,Annotate PDF,populatePageContent,,Y,AnnotatePDF,Annotate PDF,9,More,More
39,Create Folder,populatePageContent,displayCreateFolderPage,Y,CreateFolder,Create Folder,9,More,More
40,Download,populatePageContent,,Y,Download,Download,9,More,More
41,Mail Group Management,populatePageContent,,Y,MailGroupMgmt,Mail Group Management,9,More,More
42,Update Contact,populatePageContent,,Y,UpdateContact,Update Contact,10,Settings,Settings
43,Change Password,populatePageContent,,Y,ChangePassword,Change Password,10,Settings,Settings
44,Download User Manual,populatePageContent,,Y,DownloadUserManual,Download User Manual,10,Settings,Settings
45,Download App APK,populatePageContent,,Y,DownloadApp,Download App APK,10,Settings,Settings
46,Department File Pending Report,populatePageContent,dispPendingFileReport,Y,FilePendingReport,Department File Pending Report,8,Reports,Reports
49,My Requests,populatePageContent,getLoggedTicketList,Y,MyRequests,My Requests,48,HelpDesk,HelpDesk
51,Raise a Request,populatePageContent,displayCreateTicket,Y,RaiseaRequest,Raise a Request,48,HelpDesk,HelpDesk
54,Login History Report,populatePageContent,dispalayLoginHistoryPage,Y,loginHistoryReport,Login History Report,8,Reports,Reports
62,Return File,populatePageContent,displayIPRHome,Y,IPRHome,Return File,61,IPR,Property Return
71,ACR Proforma 2020-21,populatePageContent,enterACRDetailPage,Y,acrProforma2017,ACR Proforma 2020-21,70,acr,ACR
75,ACR Inbox,populatePageContent,populateUserACRInbox,Y,ACRInbox,ACR Inbox,70,acr,ACR
79,Department DAK Pending Report,populatePageContent,dispPendingDAKReport,Y,DAKPendingReport,Department DAK Pending Report,8,Reports,Reports
83,TL Sent,populatePageContent,pendingTLForOwner,Y,tlSent,TL Sent,82,tdm,TDM
84,TL Received,populatePageContent,pendingTlListForReceiver,Y,tlReceived,TL Received,82,tdm,TDM
85,TL Report,populatePageContent,displayTLReportPage,Y,tlReport,TL Report,82,tdm,TDM
88,Create Meeting Request,populatePageContent,displayCreateMeetingRequestPage,Y,createMeetingRequest,Create Meeting Request,87,meetingrequest,Meeting Request
89,Meeting Request Dashboard,populateDataList,meetingRequestDashboard,Y,meetingRequestDashboard,Meeting Request Dashboard,87,meetingrequest,Meeting Request
